Athlete,Country,Sex,Sport,Age,Gold,Silver,Bronze,Total
Ashley Wagner,United States,Female,Figure Skating,22,0,0,1,1
Marissa Castelli,United States,Female,Figure Skating,23,0,0,1,1
Anna Holmlund,Sweden,Female,Freestyle Skiing,26,0,0,1,1
Hannah Kearney,United States,Female,Freestyle Skiing,27,0,0,1,1
Alina Müller,Switzerland,Female,Ice Hockey,15,0,0,1,1
Romy Eggimann,Switzerland,Female,Ice Hockey,18,0,0,1,1
Lara Stalder,Switzerland,Female,Ice Hockey,19,0,0,1,1
Livia Altmann,Switzerland,Female,Ice Hockey,19,0,0,1,1
Phoebe Stanz,Switzerland,Female,Ice Hockey,20,0,0,1,1
Sarah Forster,Switzerland,Female,Ice Hockey,20,0,0,1,1
Evelina Raselli,Switzerland,Female,Ice Hockey,21,0,0,1,1
Laura Benz,Switzerland,Female,Ice Hockey,21,0,0,1,1
Nina Waidacher,Switzerland,Female,Ice Hockey,21,0,0,1,1
Sandra Thalmann,Switzerland,Female,Ice Hockey,21,0,0,1,1
Sara Benz,Switzerland,Female,Ice Hockey,21,0,0,1,1
Anja Stiefel,Switzerland,Female,Ice Hockey,23,0,0,1,1
Florence Schelling,Switzerland,Female,Ice Hockey,24,0,0,1,1
Jessica Lutz,Switzerland,Female,Ice Hockey,24,0,0,1,1
Julia Marty,Switzerland,Female,Ice Hockey,25,0,0,1,1
Stefanie Marty,Switzerland,Female,Ice Hockey,25,0,0,1,1
Angela Frautschi,Switzerland,Female,Ice Hockey,26,0,0,1,1
Nicole Bullo,Switzerland,Female,Ice Hockey,26,0,0,1,1
Katrin Nabholz,Switzerland,Female,Ice Hockey,27,0,0,1,1
Erin Hamlin,United States,Female,Luge,27,0,0,1,1
Yelena Nikitina,Russia,Female,Skeleton,21,0,0,1,1
Alyona Zavarzina,Russia,Female,Snowboarding,24,0,0,1,1
Kelly Clark,United States,Female,Snowboarding,30,0,0,1,1
Yekaterina Lobysheva,Russia,Female,Speed Skating,28,0,0,1,1
Yekaterina Shikhova,Russia,Female,Speed Skating,28,0,0,1,1
Yuliya Skokova,Russia,Female,Speed Skating,31,0,0,1,1
